wandb: Currently logged in as: naddeok. Use `wandb login --relogin` to force relogin
wandb: wandb version 0.15.4 is available!  To upgrade, please run:
wandb:  $ pip install wandb --upgrade
wandb: Tracking run with wandb version 0.14.2
wandb: Run data is saved locally in /home/naddeok5/exVDP-exRL/wandb/run-20230616_112302-yzhz6avz
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run peachy-snowflake-2
wandb: ⭐️ View project at https://wandb.ai/naddeok/VDP%20DQN%20Acrobot%20-%20Distill%20-%20MSE
wandb: 🚀 View run at https://wandb.ai/naddeok/VDP%20DQN%20Acrobot%20-%20Distill%20-%20MSE/runs/yzhz6avz
Episode: 1/10000, Score: None, Epsilon: -1.00
Episode: 181/10000, Score: 48.79121017456055, Epsilon: -1.00
Episode: 182/10000, Score: 59.864654541015625, Epsilon: -1.00
Episode: 183/10000, Score: 57.043701171875, Epsilon: -1.00
Episode: 184/10000, Score: 47.39434814453125, Epsilon: -1.00
Episode: 185/10000, Score: 60.83411407470703, Epsilon: -1.00
Episode: 186/10000, Score: 61.74501037597656, Epsilon: -1.00
Episode: 187/10000, Score: 58.614044189453125, Epsilon: -1.00
Episode: 188/10000, Score: 71.45243835449219, Epsilon: -1.00
Episode: 189/10000, Score: 72.60671997070312, Epsilon: -1.00
Episode: 190/10000, Score: 76.34405517578125, Epsilon: -1.00
Episode: 191/10000, Score: 49.63735580444336, Epsilon: -1.00
Episode: 192/10000, Score: 53.20104217529297, Epsilon: -1.00
Episode: 193/10000, Score: 59.733802795410156, Epsilon: -1.00
Episode: 194/10000, Score: 76.56689453125, Epsilon: -1.00
Episode: 195/10000, Score: 59.41039276123047, Epsilon: -1.00
Episode: 196/10000, Score: 61.902320861816406, Epsilon: -1.00
Episode: 197/10000, Score: 32.87651062011719, Epsilon: -1.00
Episode: 198/10000, Score: 50.68972396850586, Epsilon: -1.00
Episode: 199/10000, Score: 61.0877799987793, Epsilon: -1.00
Episode: 200/10000, Score: 86.7793197631836, Epsilon: -1.00
