wandb: Currently logged in as: naddeok. Use `wandb login --relogin` to force relogin
wandb: wandb version 0.15.3 is available!  To upgrade, please run:
wandb:  $ pip install wandb --upgrade
wandb: Tracking run with wandb version 0.14.2
wandb: Run data is saved locally in /home/naddeok5/exVDP-exRL/wandb/run-20230524_152226-tvj9bp5n
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run rare-totem-6
wandb: ⭐️ View project at https://wandb.ai/naddeok/VDP%20DQN%20Acrobot%20-%20New%20Weighting
wandb: 🚀 View run at https://wandb.ai/naddeok/VDP%20DQN%20Acrobot%20-%20New%20Weighting/runs/tvj9bp5n
Episode: 318/10000, Score: -300.0, Epsilon: 0.01
Episode: 319/10000, Score: -300.0, Epsilon: 0.01
Episode: 320/10000, Score: -300.0, Epsilon: 0.01
Episode: 321/10000, Score: -300.0, Epsilon: 0.01
Episode: 322/10000, Score: -300.0, Epsilon: 0.01
Episode: 323/10000, Score: -300.0, Epsilon: 0.01
Episode: 324/10000, Score: -300.0, Epsilon: 0.01
Episode: 325/10000, Score: -300.0, Epsilon: 0.01
Episode: 326/10000, Score: -300.0, Epsilon: 0.01
Episode: 327/10000, Score: -300.0, Epsilon: 0.01
Episode: 328/10000, Score: -300.0, Epsilon: 0.01
Episode: 329/10000, Score: -300.0, Epsilon: 0.01
Episode: 330/10000, Score: -300.0, Epsilon: 0.01
Episode: 331/10000, Score: -300.0, Epsilon: 0.01
Episode: 332/10000, Score: -300.0, Epsilon: 0.01
Episode: 333/10000, Score: -300.0, Epsilon: 0.01
Episode: 334/10000, Score: -300.0, Epsilon: 0.01
Episode: 335/10000, Score: -300.0, Epsilon: 0.01
Episode: 336/10000, Score: -300.0, Epsilon: 0.01
Episode: 337/10000, Score: -300.0, Epsilon: 0.01
Episode: 338/10000, Score: -300.0, Epsilon: 0.01
Episode: 339/10000, Score: -300.0, Epsilon: 0.01
Episode: 340/10000, Score: -300.0, Epsilon: 0.01
Episode: 341/10000, Score: -300.0, Epsilon: 0.01
Episode: 342/10000, Score: -267.0, Epsilon: 0.01
Episode: 343/10000, Score: -300.0, Epsilon: 0.01
Episode: 344/10000, Score: -230.0, Epsilon: 0.01
Episode: 345/10000, Score: -183.0, Epsilon: 0.01
Episode: 346/10000, Score: -227.0, Epsilon: 0.01
Episode: 347/10000, Score: -215.0, Epsilon: 0.01
Episode: 348/10000, Score: -300.0, Epsilon: 0.01
Episode: 349/10000, Score: -300.0, Epsilon: 0.01
Episode: 350/10000, Score: -300.0, Epsilon: 0.01
