wandb: Currently logged in as: naddeok. Use `wandb login --relogin` to force relogin
wandb: wandb version 0.15.3 is available!  To upgrade, please run:
wandb:  $ pip install wandb --upgrade
wandb: Tracking run with wandb version 0.14.2
wandb: Run data is saved locally in /home/naddeok5/exVDP-exRL/wandb/run-20230524_152226-tvj9bp5n
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run rare-totem-6
wandb: ⭐️ View project at https://wandb.ai/naddeok/VDP%20DQN%20Acrobot%20-%20New%20Weighting
wandb: 🚀 View run at https://wandb.ai/naddeok/VDP%20DQN%20Acrobot%20-%20New%20Weighting/runs/tvj9bp5n
Episode: 176/10000, Score: -300.0, Epsilon: 0.08
Episode: 177/10000, Score: -300.0, Epsilon: 0.08
Episode: 178/10000, Score: -300.0, Epsilon: 0.08
Episode: 179/10000, Score: -221.0, Epsilon: 0.08
Episode: 180/10000, Score: -300.0, Epsilon: 0.08
Episode: 181/10000, Score: -300.0, Epsilon: 0.07
Episode: 182/10000, Score: -300.0, Epsilon: 0.07
Episode: 183/10000, Score: -300.0, Epsilon: 0.07
Episode: 184/10000, Score: -300.0, Epsilon: 0.07
Episode: 185/10000, Score: -300.0, Epsilon: 0.07
Episode: 186/10000, Score: -300.0, Epsilon: 0.07
Episode: 187/10000, Score: -300.0, Epsilon: 0.07
Episode: 188/10000, Score: -300.0, Epsilon: 0.07
Episode: 189/10000, Score: -300.0, Epsilon: 0.07
Episode: 190/10000, Score: -300.0, Epsilon: 0.06
Episode: 191/10000, Score: -300.0, Epsilon: 0.06
Episode: 192/10000, Score: -300.0, Epsilon: 0.06
Episode: 193/10000, Score: -300.0, Epsilon: 0.06
Episode: 194/10000, Score: -300.0, Epsilon: 0.06
Episode: 195/10000, Score: -300.0, Epsilon: 0.06
Episode: 196/10000, Score: -300.0, Epsilon: 0.06
Episode: 197/10000, Score: -300.0, Epsilon: 0.06
Episode: 198/10000, Score: -300.0, Epsilon: 0.06
Episode: 199/10000, Score: -300.0, Epsilon: 0.06
Episode: 200/10000, Score: -256.0, Epsilon: 0.06
Episode: 201/10000, Score: -224.0, Epsilon: 0.06
Episode: 202/10000, Score: -288.0, Epsilon: 0.05
Episode: 203/10000, Score: -300.0, Epsilon: 0.05
Episode: 204/10000, Score: -300.0, Epsilon: 0.05
Episode: 205/10000, Score: -300.0, Epsilon: 0.05
Episode: 206/10000, Score: -300.0, Epsilon: 0.05
Episode: 207/10000, Score: -300.0, Epsilon: 0.05
Episode: 208/10000, Score: -215.0, Epsilon: 0.05
Episode: 209/10000, Score: -300.0, Epsilon: 0.05
Episode: 210/10000, Score: -300.0, Epsilon: 0.05
Episode: 211/10000, Score: -300.0, Epsilon: 0.05
Episode: 212/10000, Score: -300.0, Epsilon: 0.05
Episode: 213/10000, Score: -300.0, Epsilon: 0.05
Episode: 214/10000, Score: -300.0, Epsilon: 0.05
Episode: 215/10000, Score: -300.0, Epsilon: 0.04
Episode: 216/10000, Score: -300.0, Epsilon: 0.04
Episode: 217/10000, Score: -300.0, Epsilon: 0.04
Episode: 218/10000, Score: -275.0, Epsilon: 0.04
Episode: 219/10000, Score: -300.0, Epsilon: 0.04
Episode: 220/10000, Score: -300.0, Epsilon: 0.04
Episode: 221/10000, Score: -300.0, Epsilon: 0.04
Episode: 222/10000, Score: -300.0, Epsilon: 0.04
Episode: 223/10000, Score: -300.0, Epsilon: 0.04
Episode: 224/10000, Score: -300.0, Epsilon: 0.04
Episode: 225/10000, Score: -300.0, Epsilon: 0.04
Episode: 226/10000, Score: -300.0, Epsilon: 0.04
Episode: 227/10000, Score: -300.0, Epsilon: 0.04
Episode: 228/10000, Score: -300.0, Epsilon: 0.04
Episode: 229/10000, Score: -300.0, Epsilon: 0.04
Episode: 230/10000, Score: -300.0, Epsilon: 0.04
Episode: 231/10000, Score: -300.0, Epsilon: 0.04
Episode: 232/10000, Score: -300.0, Epsilon: 0.03
Episode: 233/10000, Score: -300.0, Epsilon: 0.03
Episode: 234/10000, Score: -300.0, Epsilon: 0.03
Episode: 235/10000, Score: -300.0, Epsilon: 0.03
Episode: 236/10000, Score: -300.0, Epsilon: 0.03
Episode: 237/10000, Score: -300.0, Epsilon: 0.03
Episode: 238/10000, Score: -300.0, Epsilon: 0.03
Episode: 239/10000, Score: -300.0, Epsilon: 0.03
Episode: 240/10000, Score: -300.0, Epsilon: 0.03
Episode: 241/10000, Score: -300.0, Epsilon: 0.03
