wandb: Currently logged in as: naddeok. Use `wandb login --relogin` to force relogin
wandb: wandb version 0.15.3 is available!  To upgrade, please run:
wandb:  $ pip install wandb --upgrade
wandb: Tracking run with wandb version 0.14.2
wandb: Run data is saved locally in /home/naddeok5/exVDP-exRL/wandb/run-20230531_143752-9ihfozuc
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run golden-sunset-3
wandb: ⭐️ View project at https://wandb.ai/naddeok/VDP%20DQN%20Acrobot%20-%20Fresh
wandb: 🚀 View run at https://wandb.ai/naddeok/VDP%20DQN%20Acrobot%20-%20Fresh/runs/9ihfozuc
Episode: 293/100000, Score: -154.0, Epsilon: 0.03
Episode: 294/100000, Score: -109.0, Epsilon: 0.03
Episode: 295/100000, Score: -152.0, Epsilon: 0.03
Episode: 296/100000, Score: -162.0, Epsilon: 0.03
Episode: 297/100000, Score: -202.0, Epsilon: 0.03
Episode: 298/100000, Score: -226.0, Epsilon: 0.03
Episode: 299/100000, Score: -198.0, Epsilon: 0.03
Episode: 300/100000, Score: -186.0, Epsilon: 0.03
Episode: 301/100000, Score: -140.0, Epsilon: 0.03
Episode: 302/100000, Score: -175.0, Epsilon: 0.02
Episode: 303/100000, Score: -199.0, Epsilon: 0.02
Episode: 304/100000, Score: -162.0, Epsilon: 0.02
Episode: 305/100000, Score: -239.0, Epsilon: 0.02
Episode: 306/100000, Score: -167.0, Epsilon: 0.02
Episode: 307/100000, Score: -178.0, Epsilon: 0.02
Episode: 308/100000, Score: -297.0, Epsilon: 0.02
Episode: 309/100000, Score: -224.0, Epsilon: 0.02
Episode: 310/100000, Score: -205.0, Epsilon: 0.02
Episode: 311/100000, Score: -144.0, Epsilon: 0.02
Episode: 312/100000, Score: -138.0, Epsilon: 0.02
Episode: 313/100000, Score: -154.0, Epsilon: 0.02
Episode: 314/100000, Score: -149.0, Epsilon: 0.02
Episode: 315/100000, Score: -125.0, Epsilon: 0.02
Episode: 316/100000, Score: -218.0, Epsilon: 0.02
Episode: 317/100000, Score: -206.0, Epsilon: 0.02
Episode: 318/100000, Score: -179.0, Epsilon: 0.02
Episode: 319/100000, Score: -149.0, Epsilon: 0.02
Episode: 320/100000, Score: -148.0, Epsilon: 0.02
Episode: 321/100000, Score: -194.0, Epsilon: 0.02
Episode: 322/100000, Score: -137.0, Epsilon: 0.02
Episode: 323/100000, Score: -109.0, Epsilon: 0.02
Episode: 324/100000, Score: -132.0, Epsilon: 0.02
Episode: 325/100000, Score: -202.0, Epsilon: 0.02
Episode: 326/100000, Score: -139.0, Epsilon: 0.02
Episode: 327/100000, Score: -168.0, Epsilon: 0.02
Episode: 328/100000, Score: -246.0, Epsilon: 0.02
Episode: 329/100000, Score: -178.0, Epsilon: 0.02
