wandb: Currently logged in as: naddeok. Use `wandb login --relogin` to force relogin
wandb: wandb version 0.15.3 is available!  To upgrade, please run:
wandb:  $ pip install wandb --upgrade
wandb: Tracking run with wandb version 0.14.2
wandb: Run data is saved locally in /home/naddeok5/exVDP-exRL/wandb/run-20230601_104845-wz2wmw13
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run stellar-pine-5
wandb: ⭐️ View project at https://wandb.ai/naddeok/VDP%20DQN%20Acrobot%20-%20Model%20Sigmas
wandb: 🚀 View run at https://wandb.ai/naddeok/VDP%20DQN%20Acrobot%20-%20Model%20Sigmas/runs/wz2wmw13
Episode: 170/10000, Score: -136.0, Epsilon: 0.11
Episode: 171/10000, Score: -258.0, Epsilon: 0.11
Episode: 172/10000, Score: -169.0, Epsilon: 0.11
Episode: 173/10000, Score: -300.0, Epsilon: 0.11
Episode: 174/10000, Score: -189.0, Epsilon: 0.10
Episode: 175/10000, Score: -146.0, Epsilon: 0.10
Episode: 176/10000, Score: -141.0, Epsilon: 0.10
Episode: 177/10000, Score: -216.0, Epsilon: 0.10
Episode: 178/10000, Score: -229.0, Epsilon: 0.10
Episode: 179/10000, Score: -300.0, Epsilon: 0.10
Episode: 180/10000, Score: -300.0, Epsilon: 0.10
Episode: 181/10000, Score: -269.0, Epsilon: 0.10
Episode: 182/10000, Score: -157.0, Epsilon: 0.10
Episode: 183/10000, Score: -107.0, Epsilon: 0.10
Episode: 184/10000, Score: -300.0, Epsilon: 0.09
Episode: 185/10000, Score: -213.0, Epsilon: 0.09
Episode: 186/10000, Score: -300.0, Epsilon: 0.09
Episode: 187/10000, Score: -300.0, Epsilon: 0.09
Episode: 188/10000, Score: -283.0, Epsilon: 0.09
Episode: 189/10000, Score: -256.0, Epsilon: 0.09
Episode: 190/10000, Score: -300.0, Epsilon: 0.09
Episode: 191/10000, Score: -271.0, Epsilon: 0.09
Episode: 192/10000, Score: -237.0, Epsilon: 0.08
Episode: 193/10000, Score: -190.0, Epsilon: 0.08
Episode: 194/10000, Score: -300.0, Epsilon: 0.08
Episode: 195/10000, Score: -264.0, Epsilon: 0.08
Episode: 196/10000, Score: -185.0, Epsilon: 0.08
Episode: 197/10000, Score: -183.0, Epsilon: 0.08
Episode: 198/10000, Score: -206.0, Epsilon: 0.08
Episode: 199/10000, Score: -175.0, Epsilon: 0.08
Episode: 200/10000, Score: -211.0, Epsilon: 0.08
Episode: 201/10000, Score: -222.0, Epsilon: 0.08
Episode: 202/10000, Score: -270.0, Epsilon: 0.08
Episode: 203/10000, Score: -163.0, Epsilon: 0.07
Episode: 204/10000, Score: -200.0, Epsilon: 0.07
Episode: 205/10000, Score: -300.0, Epsilon: 0.07
Episode: 206/10000, Score: -152.0, Epsilon: 0.07
Episode: 207/10000, Score: -238.0, Epsilon: 0.07
Episode: 208/10000, Score: -137.0, Epsilon: 0.07
Episode: 209/10000, Score: -118.0, Epsilon: 0.07
Episode: 210/10000, Score: -202.0, Epsilon: 0.07
Episode: 211/10000, Score: -138.0, Epsilon: 0.07
Episode: 212/10000, Score: -300.0, Epsilon: 0.07
Episode: 213/10000, Score: -236.0, Epsilon: 0.07
Episode: 214/10000, Score: -166.0, Epsilon: 0.07
Episode: 215/10000, Score: -299.0, Epsilon: 0.07
Episode: 216/10000, Score: -277.0, Epsilon: 0.06
Episode: 217/10000, Score: -136.0, Epsilon: 0.06
Episode: 218/10000, Score: -140.0, Epsilon: 0.06
Episode: 219/10000, Score: -300.0, Epsilon: 0.06
Episode: 220/10000, Score: -112.0, Epsilon: 0.06
Episode: 221/10000, Score: -164.0, Epsilon: 0.06
Episode: 222/10000, Score: -164.0, Epsilon: 0.06
Episode: 223/10000, Score: -161.0, Epsilon: 0.06
Episode: 224/10000, Score: -163.0, Epsilon: 0.06
Episode: 225/10000, Score: -189.0, Epsilon: 0.06
Episode: 226/10000, Score: -182.0, Epsilon: 0.06
Episode: 227/10000, Score: -180.0, Epsilon: 0.06
Episode: 228/10000, Score: -162.0, Epsilon: 0.06
Episode: 229/10000, Score: -142.0, Epsilon: 0.06
Episode: 230/10000, Score: -163.0, Epsilon: 0.06
Episode: 231/10000, Score: -130.0, Epsilon: 0.06
Episode: 232/10000, Score: -159.0, Epsilon: 0.06
Episode: 233/10000, Score: -187.0, Epsilon: 0.06
Episode: 234/10000, Score: -158.0, Epsilon: 0.06
